Keqs,Glycolysis,Glycolysis + Hb,Glycolysis + PFK,Glycolysis + PYK,Glycolysis + Hb + HEX1,Glycolysis + Hb + PFK,Glycolysis + Hb + PYK,Glycolysis + PFK + PYK,Glycolysis + Hb + PFK + PYK,Glycolysis + Hb + HEX1 + PFK,Glycolysis + Hb + HEX1 + PYK,Glycolysis + Hb + HEX1 + PFK + PYK,Reference (DOI)
Keq_HEX1,850,850,850,850,-,850,850,850,850,-,-,-,https://doi.org/10.1017/CBO9780511736179
Keq_PGI,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,https://doi.org/10.1017/CBO9780511736179
Keq_PFK,310,310,-,310,310,-,310,-,-,-,310,-,https://doi.org/10.1017/CBO9780511736179
Keq_FBA,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,https://doi.org/10.1017/CBO9780511736179
Keq_TPI,0.0571429,0.0571429,0.0571429,0.0571429,0.0571429,0.0571429,0.0571429,0.0571429,0.0571429,0.0571429,0.0571429,0.0571429,https://doi.org/10.1017/CBO9780511736179
Keq_GAPD,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,https://doi.org/10.1017/CBO9780511736179
Keq_PGK,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,https://doi.org/10.1017/CBO9780511736179
Keq_PGM,0.147059,0.147059,0.147059,0.147059,0.147059,0.147059,0.147059,0.147059,0.147059,0.147059,0.147059,0.147059,https://doi.org/10.1017/CBO9780511736179
Keq_ENO,1.69492,1.69492,1.69492,1.69492,1.69492,1.69492,1.69492,1.69492,1.69492,1.69492,1.69492,1.69492,https://doi.org/10.1017/CBO9780511736179
Keq_PYK,363000,363000,363000,-,363000,363000,-,-,-,363000,-,-,https://doi.org/10.1017/CBO9780511736179
Keq_LDH_L,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,https://doi.org/10.1017/CBO9780511736179
Keq_DM_amp_e,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,https://doi.org/10.1017/CBO9780511736179
Keq_ADK1,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,https://doi.org/10.1017/CBO9780511736179
Keq_EX_pyr_e,1,1,1,1,1,1,1,1,1,1,1,1,https://doi.org/10.1017/CBO9780511736179
Keq_EX_lac__L_e,1,1,1,1,1,1,1,1,1,1,1,1,https://doi.org/10.1017/CBO9780511736179
Keq_ATPM,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,https://doi.org/10.1017/CBO9780511736179
